{'t': 2431, 'cum_reward': 336.0}
{'t': 6755, 'cum_reward': 526.0}
{'t': 7500, 'cum_reward': 257.0}
{'t': 9816, 'cum_reward': 206.0}
{'t': 10164, 'cum_reward': 391.0}
{'t': 10762, 'cum_reward': 244.0}
{'t': 13074, 'cum_reward': 357.0}
{'t': 17261, 'cum_reward': 596.0}
{'t': 20156, 'cum_reward': 733.0}
{'t': 22727, 'cum_reward': 553.0}
{'t': 26045, 'cum_reward': 800.0}
{'t': 29529, 'cum_reward': 728.0}
{'t': 31964, 'cum_reward': 956.0}
{'t': 34193, 'cum_reward': 335.0}
{'t': 36600, 'cum_reward': 345.0}
{'t': 40825, 'cum_reward': 340.0}
{'t': 45049, 'cum_reward': 444.0}
{'t': 51063, 'cum_reward': 591.0}
{'t': 54871, 'cum_reward': 1335.0}
{'t': 57150, 'cum_reward': 449.0}
{'t': 61320, 'cum_reward': 976.0}
{'t': 65695, 'cum_reward': 423.0}
{'t': 68442, 'cum_reward': 919.0}
{'t': 71403, 'cum_reward': 992.0}
{'t': 77432, 'cum_reward': 581.0}
{'t': 80122, 'cum_reward': 835.0}
{'t': 84706, 'cum_reward': 964.0}
{'t': 88877, 'cum_reward': 637.0}
{'t': 93030, 'cum_reward': 472.0}
{'t': 95988, 'cum_reward': 898.0}
{'t': 98039, 'cum_reward': 676.0}
{'t': 99863, 'cum_reward': 905.0}
{'t': 103945, 'cum_reward': 721.0}
{'t': 109988, 'cum_reward': 701.0}
{'t': 112675, 'cum_reward': 1102.0}
{'t': 115078, 'cum_reward': 384.0}
{'t': 117563, 'cum_reward': 950.0}
{'t': 119418, 'cum_reward': 712.0}
{'t': 121670, 'cum_reward': 583.0}
{'t': 125545, 'cum_reward': 1524.0}
{'t': 128064, 'cum_reward': 1032.0}
{'t': 128824, 'cum_reward': 777.0}
{'t': 133266, 'cum_reward': 1080.0}
{'t': 135900, 'cum_reward': 868.0}
{'t': 136458, 'cum_reward': 438.0}
{'t': 137839, 'cum_reward': 1187.0}
{'t': 142006, 'cum_reward': 487.0}
{'t': 146095, 'cum_reward': 702.0}
{'t': 148286, 'cum_reward': 653.0}
{'t': 154315, 'cum_reward': 764.0}
{'t': 157463, 'cum_reward': 1188.0}
{'t': 160607, 'cum_reward': 972.0}
{'t': 163403, 'cum_reward': 896.0}
{'t': 167501, 'cum_reward': 639.0}
{'t': 170721, 'cum_reward': 1007.0}
{'t': 172444, 'cum_reward': 1236.0}
{'t': 174593, 'cum_reward': 673.0}
{'t': 176925, 'cum_reward': 642.0}
{'t': 181014, 'cum_reward': 849.0}
{'t': 183347, 'cum_reward': 733.0}
{'t': 185566, 'cum_reward': 736.0}
{'t': 187547, 'cum_reward': 818.0}
{'t': 190733, 'cum_reward': 948.0}
{'t': 192562, 'cum_reward': 783.0}
{'t': 194879, 'cum_reward': 514.0}
{'t': 197328, 'cum_reward': 1312.0}
{'t': 199558, 'cum_reward': 468.0}
{'t': 202792, 'cum_reward': 915.0}
{'t': 204941, 'cum_reward': 617.0}
{'t': 209049, 'cum_reward': 784.0}
{'t': 209420, 'cum_reward': 572.0}
{'t': 211873, 'cum_reward': 955.0}
