{'t': 3921, 'cum_reward': 58.0}
{'t': 8331, 'cum_reward': -67.0}
{'t': 14375, 'cum_reward': -52.0}
{'t': 16977, 'cum_reward': 66.0}
{'t': 20662, 'cum_reward': -14.0}
{'t': 25058, 'cum_reward': 3.0}
{'t': 29214, 'cum_reward': -6.0}
{'t': 31450, 'cum_reward': 41.0}
{'t': 35560, 'cum_reward': 61.0}
{'t': 39736, 'cum_reward': -161.0}
{'t': 44846, 'cum_reward': -126.0}
{'t': 48926, 'cum_reward': 26.0}
{'t': 49860, 'cum_reward': 114.0}
{'t': 54129, 'cum_reward': -22.0}
{'t': 56535, 'cum_reward': 106.0}
{'t': 59619, 'cum_reward': 40.0}
{'t': 63768, 'cum_reward': -56.0}
{'t': 67822, 'cum_reward': 20.0}
{'t': 73853, 'cum_reward': -64.0}
{'t': 78877, 'cum_reward': 56.0}
{'t': 81521, 'cum_reward': 122.0}
{'t': 85740, 'cum_reward': -128.0}
{'t': 89894, 'cum_reward': -14.0}
{'t': 95570, 'cum_reward': 33.0}
{'t': 99713, 'cum_reward': -14.0}
{'t': 105744, 'cum_reward': -211.0}
{'t': 108069, 'cum_reward': -2.0}
{'t': 108468, 'cum_reward': 109.0}
{'t': 111252, 'cum_reward': 76.0}
{'t': 115471, 'cum_reward': -102.0}
{'t': 116657, 'cum_reward': 90.0}
{'t': 119057, 'cum_reward': -53.0}
{'t': 122413, 'cum_reward': 64.0}
{'t': 123825, 'cum_reward': 96.0}
{'t': 127948, 'cum_reward': 0.0}
{'t': 132053, 'cum_reward': -21.0}
{'t': 136230, 'cum_reward': -27.0}
{'t': 140368, 'cum_reward': -104.0}
{'t': 140897, 'cum_reward': 95.0}
{'t': 145094, 'cum_reward': 3.0}
{'t': 147384, 'cum_reward': -57.0}
{'t': 149142, 'cum_reward': 219.0}
{'t': 153221, 'cum_reward': -26.0}
{'t': 153611, 'cum_reward': 103.0}
{'t': 155846, 'cum_reward': 110.0}
{'t': 156275, 'cum_reward': 96.0}
{'t': 160055, 'cum_reward': 68.0}
{'t': 166085, 'cum_reward': -97.0}
{'t': 168379, 'cum_reward': 55.0}
{'t': 170983, 'cum_reward': 148.0}
{'t': 175068, 'cum_reward': 79.0}
{'t': 177829, 'cum_reward': 184.0}
{'t': 179969, 'cum_reward': 41.0}
{'t': 180512, 'cum_reward': 62.0}
{'t': 180961, 'cum_reward': 123.0}
{'t': 185966, 'cum_reward': 40.0}
{'t': 188208, 'cum_reward': 75.0}
{'t': 190608, 'cum_reward': -17.0}
{'t': 192329, 'cum_reward': 173.0}
{'t': 194614, 'cum_reward': -71.0}
{'t': 196729, 'cum_reward': -43.0}
{'t': 200979, 'cum_reward': -92.0}
{'t': 203248, 'cum_reward': 56.0}
{'t': 208729, 'cum_reward': 40.0}
{'t': 209998, 'cum_reward': 153.0}
{'t': 211652, 'cum_reward': 72.0}
{'t': 215781, 'cum_reward': -100.0}
{'t': 219281, 'cum_reward': 160.0}
{'t': 219946, 'cum_reward': 146.0}
{'t': 222122, 'cum_reward': 43.0}
{'t': 228138, 'cum_reward': -165.0}
{'t': 230824, 'cum_reward': 169.0}
{'t': 233423, 'cum_reward': 31.0}
{'t': 236320, 'cum_reward': 23.0}
{'t': 239587, 'cum_reward': 364.0}
{'t': 242973, 'cum_reward': 113.0}
{'t': 245167, 'cum_reward': 50.0}
{'t': 248130, 'cum_reward': -3.0}
{'t': 250071, 'cum_reward': 332.0}
{'t': 254182, 'cum_reward': -92.0}
{'t': 255962, 'cum_reward': 263.0}
{'t': 258979, 'cum_reward': 184.0}
{'t': 262472, 'cum_reward': 1.0}
{'t': 264198, 'cum_reward': 142.0}
{'t': 264623, 'cum_reward': 109.0}
{'t': 266150, 'cum_reward': 115.0}
{'t': 269068, 'cum_reward': 124.0}
{'t': 274469, 'cum_reward': -13.0}
{'t': 275989, 'cum_reward': 54.0}
{'t': 278571, 'cum_reward': 339.0}
{'t': 282456, 'cum_reward': -6.0}
{'t': 284588, 'cum_reward': 13.0}
{'t': 287881, 'cum_reward': 75.0}
{'t': 292010, 'cum_reward': -43.0}
{'t': 295557, 'cum_reward': 164.0}
{'t': 300629, 'cum_reward': -104.0}
{'t': 304662, 'cum_reward': 111.0}
{'t': 309649, 'cum_reward': 148.0}
{'t': 312570, 'cum_reward': 219.0}
{'t': 313634, 'cum_reward': 369.0}
{'t': 315405, 'cum_reward': 42.0}
{'t': 317245, 'cum_reward': 54.0}
{'t': 319735, 'cum_reward': 191.0}
{'t': 320002, 'cum_reward': 93.0}
{'t': 322566, 'cum_reward': 170.0}
{'t': 325666, 'cum_reward': 251.0}
{'t': 326118, 'cum_reward': 148.0}
{'t': 326828, 'cum_reward': 153.0}
{'t': 328645, 'cum_reward': 81.0}
{'t': 330008, 'cum_reward': 178.0}
{'t': 332380, 'cum_reward': 128.0}
{'t': 334623, 'cum_reward': 280.0}
{'t': 336572, 'cum_reward': 22.0}
{'t': 337568, 'cum_reward': 183.0}
{'t': 337758, 'cum_reward': 127.0}
{'t': 339144, 'cum_reward': 160.0}
{'t': 339860, 'cum_reward': 224.0}
{'t': 340200, 'cum_reward': 211.0}
{'t': 341230, 'cum_reward': 170.0}
{'t': 341741, 'cum_reward': 184.0}
{'t': 344588, 'cum_reward': 149.0}
{'t': 347670, 'cum_reward': 163.0}
{'t': 349592, 'cum_reward': 120.0}
{'t': 352280, 'cum_reward': 226.0}
{'t': 356874, 'cum_reward': 100.0}
{'t': 360274, 'cum_reward': -11.0}
{'t': 363113, 'cum_reward': 44.0}
{'t': 365404, 'cum_reward': -59.0}
{'t': 366883, 'cum_reward': 149.0}
{'t': 368646, 'cum_reward': 216.0}
{'t': 372655, 'cum_reward': 70.0}
{'t': 375131, 'cum_reward': 185.0}
{'t': 376922, 'cum_reward': 271.0}
{'t': 378739, 'cum_reward': 242.0}
{'t': 380837, 'cum_reward': 236.0}
{'t': 383042, 'cum_reward': 291.0}
{'t': 385587, 'cum_reward': 111.0}
{'t': 387649, 'cum_reward': -12.0}
{'t': 389839, 'cum_reward': -13.0}
{'t': 390513, 'cum_reward': 249.0}
{'t': 393604, 'cum_reward': 269.0}
{'t': 394087, 'cum_reward': 195.0}
{'t': 395359, 'cum_reward': 179.0}
{'t': 397583, 'cum_reward': 199.0}
{'t': 399713, 'cum_reward': 197.0}
{'t': 401087, 'cum_reward': 70.0}
{'t': 402141, 'cum_reward': 178.0}
{'t': 404921, 'cum_reward': 230.0}
{'t': 405790, 'cum_reward': 214.0}
{'t': 408713, 'cum_reward': 232.0}
{'t': 410864, 'cum_reward': 73.0}
{'t': 415092, 'cum_reward': 240.0}
{'t': 415889, 'cum_reward': 214.0}
{'t': 416837, 'cum_reward': 189.0}
{'t': 417308, 'cum_reward': 185.0}
{'t': 418702, 'cum_reward': 159.0}
{'t': 420509, 'cum_reward': 169.0}
{'t': 423139, 'cum_reward': 96.0}
{'t': 423327, 'cum_reward': 110.0}
{'t': 423574, 'cum_reward': 154.0}
{'t': 424628, 'cum_reward': 210.0}
{'t': 425008, 'cum_reward': 187.0}
{'t': 427829, 'cum_reward': 268.0}
{'t': 428947, 'cum_reward': 141.0}
{'t': 429602, 'cum_reward': 238.0}
{'t': 430426, 'cum_reward': 148.0}
{'t': 431542, 'cum_reward': 346.0}
{'t': 434464, 'cum_reward': 242.0}
{'t': 435622, 'cum_reward': 228.0}
{'t': 439224, 'cum_reward': 209.0}
{'t': 440814, 'cum_reward': 237.0}
{'t': 442920, 'cum_reward': 66.0}
{'t': 443406, 'cum_reward': 235.0}
{'t': 445746, 'cum_reward': 301.0}
{'t': 447623, 'cum_reward': 180.0}
{'t': 447952, 'cum_reward': 191.0}
{'t': 448369, 'cum_reward': 235.0}
{'t': 450124, 'cum_reward': 296.0}
{'t': 452617, 'cum_reward': 130.0}
{'t': 453125, 'cum_reward': 283.0}
{'t': 455385, 'cum_reward': 180.0}
{'t': 457078, 'cum_reward': 396.0}
