{'t': 11000, 'eps': 0.9901, 'loss': 8.911533, 'buf_n': 11000, 'cum_reward': None}
{'t': 12000, 'eps': 0.9892, 'loss': 8.29703, 'buf_n': 12000, 'cum_reward': None}
{'t': 13000, 'eps': 0.9883, 'loss': 4.5944057, 'buf_n': 13000, 'cum_reward': None}
{'t': 14000, 'eps': 0.9874, 'loss': 4.240378, 'buf_n': 14000, 'cum_reward': None}
{'t': 15000, 'eps': 0.9865, 'loss': 4.447544, 'buf_n': 15000, 'cum_reward': None}
{'t': 16000, 'eps': 0.9856, 'loss': 3.3157096, 'buf_n': 16000, 'cum_reward': None}
{'t': 17000, 'eps': 0.9847, 'loss': 2.8259816, 'buf_n': 17000, 'cum_reward': None}
{'t': 18000, 'eps': 0.9838, 'loss': 2.6454172, 'buf_n': 18000, 'cum_reward': None}
{'t': 19000, 'eps': 0.9829, 'loss': 4.397665, 'buf_n': 19000, 'cum_reward': None}
{'t': 20000, 'eps': 0.982, 'loss': 2.5057101, 'buf_n': 20000, 'cum_reward': None}
{'t': 21000, 'eps': 0.9811, 'loss': 2.5568857, 'buf_n': 21000, 'cum_reward': None}
{'t': 22000, 'eps': 0.9802, 'loss': 2.1269643, 'buf_n': 22000, 'cum_reward': None}
{'t': 23000, 'eps': 0.9793, 'loss': 2.9038153, 'buf_n': 23000, 'cum_reward': None}
{'t': 24000, 'eps': 0.9784, 'loss': 4.536461, 'buf_n': 24000, 'cum_reward': None}
{'t': 25000, 'eps': 0.9775, 'loss': 4.8902936, 'buf_n': 25000, 'cum_reward': None}
{'t': 26000, 'eps': 0.9766, 'loss': 1.3986559, 'buf_n': 26000, 'cum_reward': None}
{'t': 27000, 'eps': 0.9757, 'loss': 3.0784585, 'buf_n': 27000, 'cum_reward': None}
{'t': 28000, 'eps': 0.9748, 'loss': 4.156073, 'buf_n': 28000, 'cum_reward': None}
{'t': 29000, 'eps': 0.9739, 'loss': 3.2246184, 'buf_n': 29000, 'cum_reward': None}
{'t': 30000, 'eps': 0.973, 'loss': 2.6068177, 'buf_n': 30000, 'cum_reward': None}
{'t': 31000, 'eps': 0.9721, 'loss': 4.034815, 'buf_n': 31000, 'cum_reward': None}
{'t': 32000, 'eps': 0.9712, 'loss': 4.5366254, 'buf_n': 32000, 'cum_reward': None}
{'t': 33000, 'eps': 0.9703, 'loss': 2.69718, 'buf_n': 33000, 'cum_reward': None}
{'t': 34000, 'eps': 0.9694, 'loss': 1.2651885, 'buf_n': 34000, 'cum_reward': None}
{'t': 35000, 'eps': 0.9685, 'loss': 2.7056694, 'buf_n': 35000, 'cum_reward': None}
{'t': 36000, 'eps': 0.9676, 'loss': 2.2339964, 'buf_n': 36000, 'cum_reward': None}
{'t': 37000, 'eps': 0.9667, 'loss': 5.5941434, 'buf_n': 37000, 'cum_reward': None}
{'t': 38000, 'eps': 0.9658, 'loss': 9.171551, 'buf_n': 38000, 'cum_reward': None}
{'t': 39000, 'eps': 0.9649, 'loss': 3.4570942, 'buf_n': 39000, 'cum_reward': None}
{'t': 40000, 'eps': 0.964, 'loss': 4.7755423, 'buf_n': 40000, 'cum_reward': None}
{'t': 41000, 'eps': 0.9631, 'loss': 1.3909868, 'buf_n': 41000, 'cum_reward': None}
{'t': 42000, 'eps': 0.9621999999999999, 'loss': 1.9299502, 'buf_n': 42000, 'cum_reward': None}
{'t': 43000, 'eps': 0.9613, 'loss': 1.3021395, 'buf_n': 43000, 'cum_reward': None}
{'t': 44000, 'eps': 0.9604, 'loss': 3.2634938, 'buf_n': 44000, 'cum_reward': None}
{'t': 45000, 'eps': 0.9595, 'loss': 1.9179144, 'buf_n': 45000, 'cum_reward': None}
{'t': 46000, 'eps': 0.9586, 'loss': 1.559888, 'buf_n': 46000, 'cum_reward': None}
{'t': 47000, 'eps': 0.9577, 'loss': 1.510678, 'buf_n': 47000, 'cum_reward': None}
{'t': 48000, 'eps': 0.9568, 'loss': 0.88196635, 'buf_n': 48000, 'cum_reward': None}
{'t': 49000, 'eps': 0.9559, 'loss': 0.8865175, 'buf_n': 49000, 'cum_reward': None}
{'t': 50000, 'eps': 0.955, 'loss': 0.9293976, 'buf_n': 50000, 'cum_reward': None}
{'t': 51000, 'eps': 0.9541, 'loss': 0.9695259, 'buf_n': 51000, 'cum_reward': None}
{'t': 52000, 'eps': 0.9532, 'loss': 0.60735154, 'buf_n': 52000, 'cum_reward': None}
{'t': 53000, 'eps': 0.9523, 'loss': 1.7138953, 'buf_n': 53000, 'cum_reward': None}
{'t': 54000, 'eps': 0.9514, 'loss': 4.3150225, 'buf_n': 54000, 'cum_reward': None}
{'t': 55000, 'eps': 0.9505, 'loss': 1.3694985, 'buf_n': 55000, 'cum_reward': None}
{'t': 56000, 'eps': 0.9496, 'loss': 1.1452222, 'buf_n': 56000, 'cum_reward': None}
{'t': 57000, 'eps': 0.9487, 'loss': 1.4639652, 'buf_n': 57000, 'cum_reward': None}
{'t': 58000, 'eps': 0.9478, 'loss': 1.4632287, 'buf_n': 58000, 'cum_reward': None}
{'t': 59000, 'eps': 0.9469, 'loss': 1.8927286, 'buf_n': 59000, 'cum_reward': None}
{'t': 60000, 'eps': 0.946, 'loss': 1.4474889, 'buf_n': 60000, 'cum_reward': None}
{'t': 61000, 'eps': 0.9451, 'loss': 0.8990139, 'buf_n': 61000, 'cum_reward': None}
{'t': 62000, 'eps': 0.9442, 'loss': 1.3866034, 'buf_n': 62000, 'cum_reward': None}
{'t': 63000, 'eps': 0.9433, 'loss': 0.8066963, 'buf_n': 63000, 'cum_reward': None}
{'t': 64000, 'eps': 0.9424, 'loss': 2.2562377, 'buf_n': 64000, 'cum_reward': None}
{'t': 65000, 'eps': 0.9415, 'loss': 1.2318263, 'buf_n': 65000, 'cum_reward': None}
{'t': 66000, 'eps': 0.9406, 'loss': 0.86792356, 'buf_n': 66000, 'cum_reward': None}
{'t': 67000, 'eps': 0.9397, 'loss': 2.0259953, 'buf_n': 67000, 'cum_reward': None}
{'t': 68000, 'eps': 0.9388, 'loss': 1.5688728, 'buf_n': 68000, 'cum_reward': None}
{'t': 69000, 'eps': 0.9379, 'loss': 1.1677445, 'buf_n': 69000, 'cum_reward': None}
{'t': 70000, 'eps': 0.9369999999999999, 'loss': 1.3323663, 'buf_n': 70000, 'cum_reward': None}
{'t': 71000, 'eps': 0.9361, 'loss': 2.0057163, 'buf_n': 71000, 'cum_reward': None}
{'t': 72000, 'eps': 0.9352, 'loss': 0.84605306, 'buf_n': 72000, 'cum_reward': None}
{'t': 73000, 'eps': 0.9343, 'loss': 1.1157295, 'buf_n': 73000, 'cum_reward': None}
{'t': 74000, 'eps': 0.9334, 'loss': 0.80485576, 'buf_n': 74000, 'cum_reward': None}
{'t': 75000, 'eps': 0.9325, 'loss': 1.7341197, 'buf_n': 75000, 'cum_reward': None}
{'t': 76000, 'eps': 0.9316, 'loss': 0.6739861, 'buf_n': 76000, 'cum_reward': None}
{'t': 77000, 'eps': 0.9307, 'loss': 1.6942095, 'buf_n': 77000, 'cum_reward': None}
{'t': 78000, 'eps': 0.9298, 'loss': 1.3678393, 'buf_n': 78000, 'cum_reward': None}
{'t': 79000, 'eps': 0.9289000000000001, 'loss': 2.0416172, 'buf_n': 79000, 'cum_reward': None}
{'t': 80000, 'eps': 0.9279999999999999, 'loss': 1.267777, 'buf_n': 80000, 'cum_reward': None}
{'t': 81000, 'eps': 0.9271, 'loss': 1.9077103, 'buf_n': 81000, 'cum_reward': None}
{'t': 82000, 'eps': 0.9262, 'loss': 1.9763924, 'buf_n': 82000, 'cum_reward': None}
{'t': 83000, 'eps': 0.9253, 'loss': 2.9623811, 'buf_n': 83000, 'cum_reward': None}
{'t': 84000, 'eps': 0.9244, 'loss': 1.2627304, 'buf_n': 84000, 'cum_reward': None}
{'t': 85000, 'eps': 0.9235, 'loss': 2.4895382, 'buf_n': 85000, 'cum_reward': None}
{'t': 86000, 'eps': 0.9226, 'loss': 0.91951925, 'buf_n': 86000, 'cum_reward': None}
{'t': 87000, 'eps': 0.9217, 'loss': 0.83293563, 'buf_n': 87000, 'cum_reward': None}
{'t': 88000, 'eps': 0.9208000000000001, 'loss': 1.2599192, 'buf_n': 88000, 'cum_reward': None}
{'t': 89000, 'eps': 0.9198999999999999, 'loss': 0.88691056, 'buf_n': 89000, 'cum_reward': None}
{'t': 90000, 'eps': 0.919, 'loss': 4.3546867, 'buf_n': 90000, 'cum_reward': None}
{'t': 91000, 'eps': 0.9181, 'loss': 2.6252038, 'buf_n': 91000, 'cum_reward': None}
{'t': 92000, 'eps': 0.9172, 'loss': 2.5049682, 'buf_n': 92000, 'cum_reward': None}
{'t': 93000, 'eps': 0.9163, 'loss': 0.9410717, 'buf_n': 93000, 'cum_reward': None}
{'t': 94000, 'eps': 0.9154, 'loss': 2.3823674, 'buf_n': 94000, 'cum_reward': None}
{'t': 95000, 'eps': 0.9145, 'loss': 0.8856726, 'buf_n': 95000, 'cum_reward': None}
{'t': 96000, 'eps': 0.9136, 'loss': 1.3108225, 'buf_n': 96000, 'cum_reward': None}
{'t': 97000, 'eps': 0.9127, 'loss': 1.1538515, 'buf_n': 97000, 'cum_reward': None}
{'t': 98000, 'eps': 0.9117999999999999, 'loss': 1.3766459, 'buf_n': 98000, 'cum_reward': None}
{'t': 99000, 'eps': 0.9109, 'loss': 2.3283384, 'buf_n': 99000, 'cum_reward': None}
{'t': 100000, 'eps': 0.91, 'loss': 1.4544039, 'buf_n': 100000, 'cum_reward': None}
{'t': 101000, 'eps': 0.9091, 'loss': 1.1793902, 'buf_n': 101000, 'cum_reward': None}
{'t': 102000, 'eps': 0.9082, 'loss': 1.1485966, 'buf_n': 102000, 'cum_reward': None}
{'t': 103000, 'eps': 0.9073, 'loss': 0.8817133, 'buf_n': 103000, 'cum_reward': None}
{'t': 104000, 'eps': 0.9064, 'loss': 0.70073396, 'buf_n': 104000, 'cum_reward': None}
{'t': 105000, 'eps': 0.9055, 'loss': 1.9092278, 'buf_n': 105000, 'cum_reward': None}
{'t': 106000, 'eps': 0.9046, 'loss': 1.4300272, 'buf_n': 106000, 'cum_reward': None}
{'t': 107000, 'eps': 0.9037, 'loss': 1.4640391, 'buf_n': 107000, 'cum_reward': None}
{'t': 108000, 'eps': 0.9028, 'loss': 1.4293866, 'buf_n': 108000, 'cum_reward': None}
{'t': 109000, 'eps': 0.9019, 'loss': 1.4102652, 'buf_n': 109000, 'cum_reward': None}
{'t': 110000, 'eps': 0.901, 'loss': 1.2555126, 'buf_n': 110000, 'cum_reward': None}
{'t': 111000, 'eps': 0.9001, 'loss': 1.5898263, 'buf_n': 111000, 'cum_reward': None}
{'t': 112000, 'eps': 0.8992, 'loss': 1.2913926, 'buf_n': 112000, 'cum_reward': None}
{'t': 113000, 'eps': 0.8983, 'loss': 1.6876953, 'buf_n': 113000, 'cum_reward': None}
{'t': 114000, 'eps': 0.8974, 'loss': 2.1422012, 'buf_n': 114000, 'cum_reward': None}
{'t': 115000, 'eps': 0.8965, 'loss': 1.3370119, 'buf_n': 115000, 'cum_reward': None}
{'t': 116000, 'eps': 0.8956, 'loss': 1.365916, 'buf_n': 116000, 'cum_reward': None}
{'t': 117000, 'eps': 0.8947, 'loss': 1.7624764, 'buf_n': 117000, 'cum_reward': None}
{'t': 118000, 'eps': 0.8938, 'loss': 1.3624389, 'buf_n': 118000, 'cum_reward': None}
{'t': 119000, 'eps': 0.8929, 'loss': 1.3816273, 'buf_n': 119000, 'cum_reward': None}
{'t': 120000, 'eps': 0.892, 'loss': 0.82545793, 'buf_n': 120000, 'cum_reward': None}
{'t': 121000, 'eps': 0.8911, 'loss': 1.4268528, 'buf_n': 121000, 'cum_reward': None}
{'t': 122000, 'eps': 0.8902, 'loss': 2.31574, 'buf_n': 122000, 'cum_reward': None}
{'t': 123000, 'eps': 0.8893, 'loss': 1.4348347, 'buf_n': 123000, 'cum_reward': None}
{'t': 124000, 'eps': 0.8884, 'loss': 1.1946772, 'buf_n': 124000, 'cum_reward': None}
{'t': 125000, 'eps': 0.8875, 'loss': 1.1229739, 'buf_n': 125000, 'cum_reward': None}
{'t': 126000, 'eps': 0.8866, 'loss': 2.678543, 'buf_n': 126000, 'cum_reward': None}
{'t': 127000, 'eps': 0.8857, 'loss': 0.7723947, 'buf_n': 127000, 'cum_reward': None}
{'t': 128000, 'eps': 0.8848, 'loss': 0.8722147, 'buf_n': 128000, 'cum_reward': None}
{'t': 129000, 'eps': 0.8839, 'loss': 1.1502211, 'buf_n': 129000, 'cum_reward': None}
{'t': 130000, 'eps': 0.883, 'loss': 1.2155805, 'buf_n': 130000, 'cum_reward': None}
{'t': 131000, 'eps': 0.8821, 'loss': 1.6826478, 'buf_n': 131000, 'cum_reward': None}
{'t': 132000, 'eps': 0.8812, 'loss': 66.45906, 'buf_n': 132000, 'cum_reward': None}
{'t': 133000, 'eps': 0.8803, 'loss': 1.3891574, 'buf_n': 133000, 'cum_reward': None}
{'t': 134000, 'eps': 0.8794, 'loss': 1.4638995, 'buf_n': 134000, 'cum_reward': None}
{'t': 135000, 'eps': 0.8785, 'loss': 2.1072488, 'buf_n': 135000, 'cum_reward': None}
{'t': 136000, 'eps': 0.8775999999999999, 'loss': 2.1915917, 'buf_n': 136000, 'cum_reward': None}
{'t': 137000, 'eps': 0.8767, 'loss': 1.0452119, 'buf_n': 137000, 'cum_reward': None}
{'t': 138000, 'eps': 0.8758, 'loss': 0.9703201, 'buf_n': 138000, 'cum_reward': None}
